x,y_teo,y,y_sin,y_con
112.0,5.117740680721825,3.0044606432170937,2.2598484084785966,2.839606911186979
113.0,4.595195527928692,-1.1156156121745973,1.660110828089215,2.3743215951448065
114.0,4.072842309397823,4.2618029693626625,1.0805745667220028,1.939750577590611
115.0,3.5584311011378746,-2.5822856130294634,0.5300426399538525,1.5433118040383622
116.0,3.0596037729725793,0.030430234103438814,0.017027890580580074,1.1911921831228884
117.0,2.583774123083778,0.7123734160828148,-0.45111752972630254,0.8846544759624552
118.0,2.138011595714711,-1.2693169290840354,-0.8673316420763596,0.6237304067961857
119.0,1.728930395631875,-4.3077251948634965,-1.224552467579155,0.40845169986320473
120.0,1.3625857287662866,-6.124936967328135,-1.5157180273442536,0.23885007940263647
121.0,1.0443787872890926,7.635915878248497,-1.734604603051705,0.11485633905291852
122.0,0.7789719609567762,-11.626796031565943,-1.8783415186635004,0.03599755004974196
123.0,0.5702155970166971,2.357497463893381,-1.9448963587121162,0.0016998530281111465
124.0,0.4210874507839253,-4.409318526483792,-1.9322367077300282,0.01138938862303053
125.0,0.3336457709971121,-3.913253841702822,-1.838330150249715,0.06449229746950451
126.0,0.30899675132419446,-10.389207384748397,-1.6625461073146244,0.1608278690343906
127.0,0.3472768552378751,0.1639795742917003,-1.4098613460120974,0.3017879881119586
128.0,0.447650289413851,-2.8811585498221723,-1.086654469940446,0.4891576883283312
129.0,0.6083216644430598,6.96213629114846,-0.6993040826979826,0.724722003309631
130.0,0.8265636446811828,-2.5683090056798035,-0.25418878788302074,1.010265966681981
131.0,1.098759155182118,-5.440275528484682,0.24174452732554846,1.3461000535610936
132.0,1.4204574865266903,-5.786317672885874,0.7792758414265177,1.7266365050210393
133.0,1.7864434215079852,7.527321011696727,1.348616849338101,2.1448130036254778
134.0,2.190818304454194,5.598207717739021,1.9399792459785115,2.5935672319380676
135.0,2.6270917876293964,0.5320611854864006,2.5435747262659643,3.065836872522471
136.0,3.0882828225600845,13.041451097316859,3.1506960318633324,3.5550952651537613
137.0,3.567028319890085,5.164741505842147,3.7569600914121284,4.056958378452675
